% Model,OrthoDipoleGoldSphere.mph
% Version,COMSOL 5.4.0.225
% Date,"Jan 8 2020, 21:33"
% Table,Table 4 - 
% gap_dipole_Au (nm),freq (Hz),"intop1(emw.nPoav) (W), TotalPower1","intop2(emw.nPoav) (W), TotalPower2","intop3(emw.nPoav) (W), TotalPower3"
100,3.843493051282051E14,5.1576165574857406E14,5.151427319685199E14,5.1565929828908575E14
135.71428571428572,3.843493051282051E14,5.566340594779028E14,5.559801116548071E14,5.564178163825138E14
171.42857142857144,3.843493051282051E14,5.858829882007204E14,5.851800586228752E14,5.857685454801864E14
207.14285714285714,3.843493051282051E14,6.135908402505084E14,6.128886304326924E14,6.134725177937181E14
242.85714285714286,3.843493051282051E14,6.383389729714756E14,6.37583088832309E14,6.382130630699176E14
278.57142857142856,3.843493051282051E14,6.574978495379076E14,6.567278999120725E14,6.573634156559086E14
314.28571428571433,3.843493051282051E14,6.690953191860239E14,6.683276271631028E14,6.689743067256886E14
350,3.843493051282051E14,6.729648311495985E14,6.721586593185874E14,6.728276397165514E14
385.7142857142857,3.843493051282051E14,6.69570807787105E14,6.687195244585669E14,6.69453199770115E14
421.42857142857144,3.843493051282051E14,6.615658305384211E14,6.607831425879252E14,6.61449725991818E14
457.1428571428571,3.843493051282051E14,6.517097883039051E14,6.509520603666282E14,6.515832428914121E14
492.85714285714295,3.843493051282051E14,6.424844545080758E14,6.417472375647868E14,6.423678461225371E14
528.5714285714287,3.843493051282051E14,6.364270573398042E14,6.357014133186345E14,6.362980529704561E14
564.2857142857143,3.843493051282051E14,6.339461939649615E14,6.331842947674464E14,6.338138801656726E14
600,3.843493051282051E14,6.355037468602341E14,6.347115272614894E14,6.354002692221041E14
